Macro time on ka.upc.edu: 13/05/2013 2:27:52; Problema ID: 1198; Temps total: 3.0784940719604;
Macro time on ka.upc.edu: 13/05/2013 2:28:34; Problema ID: 1255; Temps total: 6.3383700847626;
Macro time on ka.upc.edu: 13/05/2013 2:31:43; Problema ID: 1255; Temps total: 2.2885129451752;
Macro time on ka.upc.edu: 13/05/2013 2:36:02; Problema ID: 1198; Temps total: 3.48118019104;
Macro time on ka.upc.edu: 13/05/2013 2:54:27; Problema ID: 1255; Temps total: 3.4662849903107;
Macro time on ka.upc.edu: 13/05/2013 4:16:46; Problema ID: 1281; Temps total: 4.6307561397552;
Macro time on ka.upc.edu: 13/05/2013 4:22:40; Problema ID: 1281; Temps total: 3.1525177955627;
Macro time on ka.upc.edu: 13/05/2013 4:37:00; Problema ID: 1420; Temps total: 5.8738400936127;
Macro time on ka.upc.edu: 13/05/2013 4:37:54; Problema ID: 1255; Temps total: 2.9312858581543;
Macro time on ka.upc.edu: 13/05/2013 4:43:25; Problema ID: 1255; Temps total: 3.3441262245178;
Macro time on ka.upc.edu: 13/05/2013 4:45:45; Problema ID: 1262; Temps total: 5.1646709442139;
Macro time on ka.upc.edu: 13/05/2013 4:50:29; Problema ID: 1262; Temps total: 2.4193000793457;
Macro time on ka.upc.edu: 13/05/2013 4:59:41; Problema ID: 1262; Temps total: 3.4393329620361;
Macro time on ka.upc.edu: 13/05/2013 5:01:11; Problema ID: 1262; Temps total: 2.0187270641327;
Macro time on ka.upc.edu: 13/05/2013 5:01:39; Problema ID: 1262; Temps total: 2.7633728981018;
Macro time on ka.upc.edu: 13/05/2013 5:08:00; Problema ID: 1262; Temps total: 2.5282838344574;
Macro time on ka.upc.edu: 13/05/2013 5:11:46; Problema ID: 1420; Temps total: 3.35981798172;
Macro time on ka.upc.edu: 13/05/2013 5:48:39; Problema ID: 1262; Temps total: 2.394345998764;
Macro time on ka.upc.edu: 13/05/2013 5:50:55; Problema ID: 1397; Temps total: 3.394641160965;
Macro time on ka.upc.edu: 13/05/2013 5:57:09; Problema ID: 1262; Temps total: 2.9409699440002;
Macro time on ka.upc.edu: 13/05/2013 6:02:33; Problema ID: 1397; Temps total: 3.6298768520355;
Macro time on ka.upc.edu: 13/05/2013 6:04:01; Problema ID: 1420; Temps total: 2.91650390625;
Macro time on ka.upc.edu: 13/05/2013 6:22:25; Problema ID: 1420; Temps total: 3.2984890937805;
Macro time on ka.upc.edu: 13/05/2013 6:22:38; Problema ID: 1420; Temps total: 2.3254060745239;
Macro time on ka.upc.edu: 13/05/2013 8:49:35; Problema ID: 1198; Temps total: 3.5120701789856;
Macro time on ka.upc.edu: 13/05/2013 9:50:30; Problema ID: 1428; Temps total: 6.8272140026093;
Macro time on ka.upc.edu: 13/05/2013 10:25:41; Problema ID: 1325; Temps total: 3.8702931404114;
Macro time on ka.upc.edu: 13/05/2013 10:30:02; Problema ID: 1325; Temps total: 2.7716639041901;
